Uniprot,KEGG
O14958,hsa:845
O15304,hsa:10572
O15540,hsa:2173
P04217,hsa:1
P09455,hsa:5947
P10644,hsa:5573
P13693,hsa:7178
P25311,hsa:563
P31323,hsa:5577
P31415,hsa:844
P51161,hsa:2172
Q9NZD4,hsa:51327
A4D1B5,hsa:54103
O15540,hsa:2173
O60256,hsa:5636
P10644,hsa:5573
P13861,hsa:5576
P31323,hsa:5577
P34998,hsa:104909134
P51161,hsa:2172
Q00G26,hsa:440503
Q01469,hsa:2171
Q12888,hsa:7158
Q13477,hsa:8174
Q14397,hsa:2646
Q14761,hsa:5790
Q96IZ0,hsa:5074
Q96T53,hsa:619373
Q99576,hsa:1831
Q9H2J4,hsa:79031
Q9H7M9,hsa:64115
Q9UKL6,hsa:58488
