Interval,Count_all,Percentage_all,Count_KEGG,Percentage_KEGG,Count_ChEMBL,Percentage_ChEMBL
"[0.0, 0.1)",2190356,62.5%,3,0.33%,20,1.66%
"[0.1, 0.2)",536995,15.32%,6,0.66%,54,4.49%
"[0.2, 0.3)",274762,7.84%,18,1.99%,33,2.74%
"[0.3, 0.4)",165366,4.72%,11,1.22%,32,2.66%
"[0.4, 0.5)",109030,3.11%,6,0.66%,37,3.08%
"[0.5, 0.6)",75593,2.16%,32,3.54%,56,4.66%
"[0.6, 0.7)",53635,1.53%,70,7.74%,77,6.4%
"[0.7, 0.8)",39505,1.13%,79,8.74%,118,9.81%
"[0.8, 0.9)",31092,0.89%,121,13.38%,192,15.96%
"[0.9, 1.0]",28320,0.81%,558,61.73%,584,48.55%
