,AUC,AUPR,ACC,MCC,F1
DeepCPI,0.00022787470070112335,1.873791867685723e-06,0.00020471907240866326,7.906785176881108e-05,2.7690666242139265e-05
DeepConv-DTI,9.812313183456449e-05,7.611762454925387e-06,0.00011813683462061236,8.177280881804789e-06,1.4175125307224534e-06
MolTrans,2.3626842623587927e-07,1.6765901852394787e-07,8.340476801612988e-05,5.388792443674825e-06,5.5663451081213046e-06
TransformerCPI,0.00010119353319289843,1.3563004316795974e-06,0.002524340616499469,2.530540081892412e-05,1.4932114766005356e-05
DLM-DTI,7.172652202959156e-05,9.442775288634093e-09,0.0006563585457940028,1.2232059011683216e-05,3.0437726913829776e-06
HyperAttentionDTI,0.0002465286323725251,8.663894452908294e-05,0.0005664680157721223,1.0218379338862027e-05,9.189035137729157e-06
MCANet,0.0001267156466374315,1.128387861466202e-05,2.566256225643461e-05,1.0543281966668976e-05,3.6747397127485473e-07
FMCA-DTI,3.546016659254313e-05,2.342877300071352e-12,0.0007579904657378269,5.092965097580443e-07,2.5727024458858682e-08
DrugBAN,3.9983303839193354e-05,7.325907021781929e-10,0.003303700452672414,4.013927390878718e-06,2.8797211227535916e-06
CmhAttCPI,0.00014455950510952132,1.9746971309537255e-06,0.0024236296517520816,1.4091282471867815e-05,1.2177819499644958e-05
BINDTI,2.7820578466627485e-05,2.9104739719537486e-06,2.7169564476030727e-05,3.641102121834657e-05,2.258840857540082e-05
MGNDTI,0.00019667431354417178,5.726086195673141e-06,0.0005272226325817595,2.5428063670891687e-05,1.101346919438297e-05
DeepDTA,0.00034803740918772986,4.702773332198274e-06,0.0002618765069420854,3.959255565835941e-05,9.445752893190621e-06
DeepCDA,0.001017702564944319,1.9287713220993539e-07,0.0038836334995438274,5.415145967841743e-05,8.42988347990364e-06
GraphDTA,0.00013553302174073374,2.1763094551255624e-06,0.00066343672471714,1.9974030882173594e-05,1.852641483479638e-05
